id	published	title	summary
rssexport.rbc.ru::65e429e99a7947ba0120a5de	2024-03-03 11:14:34+03:00	Минцифры запустит сервис для удаленного участия в судебных заседаниях	Минцифры в 2024 году планирует запустить сервис для дистанционного участия в судебных заседаниях по биометрии, сообщает ТАСС со ссылкой на судебный департамент при Верховном суде.
rssexport.rbc.ru::65dde6f49a7947798142557b	2024-03-03 11:06:18+03:00	Какие три региона показали наибольший рост промышленного производства	Камчатский край, Чувашия и Сахалинская область показали наибольший рост промышленного производства в 2023 году, следует из данных Росстата.
rssexport.rbc.ru::65e4227c9a7947d822f7538b	2024-03-03 11:04:04+03:00	Украинские военные рассказали детали отступления из Авдеевки	Приказ об отступлении следовало отдать раньше, отход войск был сложен и сопряжен с дополнительными потерями, рассказали WP опрошенные украинские военнослужащие. Российские войска заняли город 17 февраля
rssexport.rbc.ru::65e422dc9a79475dfe3d17ad	2024-03-03 10:41:27+03:00	В Ингушетии сообщили о сохранении режима КТО в Карабулаке	В ингушском городе Карабулаке продолжает действовать режим контртеррористической операции (КТО), сообщает ТАСС со ссылкой на оперативные службы региона.
rssexport.rbc.ru::65e41b9e9a794762f8009fe8	2024-03-03 10:15:45+03:00	В Гаити банды выпустили заключенных из главной тюрьмы	В Гаити вооруженные группировки напали на главную тюрьму в Порт-о-Пренсе и выпустили «значительное количество» заключенных, сообщает Gazette Haiti.
rssexport.rbc.ru::65e416869a794776b5992ae5	2024-03-03 10:09:03+03:00	Оппозиция добилась перевыборов в Белграде после массовых протестов	Сербская оппозиция опротестовала декабрьские выборы, правящая партия спустя 2,5 месяца согласилась провести повторное голосование. Наблюдатели сообщали о карусельном голосовании на автобусах, подкупе избирателей и иных нарушениях
rssexport.rbc.ru::65e1b9239a7947e526628c02	2024-03-03 10:00:38+03:00	Нейросети для «чайников»: кто и зачем учит работать с чат-ботами	«Яндекс», «Сбер» и другие компании активно запускают курсы по нейросетям для непрофессионалов. Такие программы начали массово появляться после запуска ChatGPT, хотя пока они почти и не влияют на поиск работы или зарплаты
rssexport.rbc.ru::65e417479a79476e12d807c9	2024-03-03 09:40:12+03:00	Затонувший в Красном море сухогруз перевозил 21 тыс. т опасных удобрений	Британский сухогруз MV Rubymar, который затонул в Красном море после атаки хуситов, перевозил около 21 тыс.
rssexport.rbc.ru::65e408029a79474e3acccc1f	2024-03-03 09:28:55+03:00	Ирану не удалось построить военную базу на «стратегическом перекрестке»	Иран хотел построить базу в Судане, чтобы усилить контроль над Красным морем, но получил отказ от властей страны. В Красном море активно действуют хуситы, пользующиеся поддержкой Тегерана
rssexport.rbc.ru::65e40d409a7947e5a777740a	2024-03-03 09:19:37+03:00	В Евросоюзе назвали наихудший сценарий с транзитом газа через Украину	Европа занимается поиском альтернативных маршрутов снабжения газом стран, которые получают его из России транзитом через Украину. Транзит закончится в конце 2024-го, а холода могут сделать ситуацию проблемной, считает Брюссель
